GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,Yes,,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,3.77,3.77358,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,3.64,3.63636,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,2.00,2.00000,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,2.78,2.77778,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,2.83,2.83019,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,7.07,7.07071,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefixime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,0.00,0.00000,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefixime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,6.33,6.32911,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,97.30,97.29730,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,100.00,100.00000,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,96.23,96.22642,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,97.73,97.72727,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,96.00,96.00000,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,76.39,76.38889,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,86.11,86.11111,,,,,
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,83.17,83.16832,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,10.81,10.81081,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,3.92,3.92157,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,9.43,9.43396,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,0.00,0.00000,,,,,
