GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,#indicator+value+num,,,,,
WHS6_100,Radiotherapy units (per 1 000 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2441,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,0.4,,,,,,Data derived from the Directory of Radiotherapy Centres (DIRAC) from the International Atomic Energy Agency (IAEA).
MEDS2012100S,Market share of generic pharmaceuticals by value (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2272,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,72,72.00000,,,,,
MEDS5050900,Licensing private pharmacies obligatory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2284,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS5070100,Legal provisions control promoting and advertising of prescription medicine,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2287,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS6010103,Pregnant women receive free medicines,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2294,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS6030100,System in place to monitor prices of medicines,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1417,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS8010800,National Medicines Information Center provides information on medicines,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2282,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS8021201,Public sector,,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,No,0.00000,,,,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,233.34,233.34000,,,,,
