GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,643964,643964.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,927447,927447.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,,,,960233,960233.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,,,,793705,793705.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,1041395,1041395.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,,,,675375,675375.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,1268172,1268172.00000,,,,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5320,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,1422452,1422452.00000,,,,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5320,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,,,,1270299,1270299.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,,,,625423,625423.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,IND,2002,2002,India,,,,,607075,607075.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,,,,555147,555147.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,,,,575647,575647.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,1088048,1088048.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,,,,918303,918303.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,,,,883812,883812.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,,,,922177,922177.00000,,,,,
