GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),DRIVERTYPE (CODE),DRIVERTYPE (DISPLAY),DRIVERTYPE (URL),MOTOCYCLEOCCUPANTTYPE (CODE),MOTOCYCLEOCCUPANTTYPE (DISPLAY),MOTOCYCLEOCCUPANTTYPE (URL),ROADUSERTYPE (CODE),ROADUSERTYPE (DISPLAY),ROADUSERTYPE (URL),SEATTYPE (CODE),SEATTYPE (DISPLAY),SEATTYPE (URL),VEHICLESTANDARD (CODE),VEHICLESTANDARD (DISPLAY),VEHICLESTANDARD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,,,,,,,#indicator+value+num,,,,,
RS_237,Existence of a formal pre-hospital care system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/237,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,0.00000,0.00000,,,
RS_576,Gross national income per capita (Atlas method),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3355,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,1 260,1260.00000,,,,,
RS_193,Income level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/193,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,
RS_1845,Population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3359,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,1 224 614 272,1224614272.00000,,,,,
VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,Child maltreatment: Extent of implementation of home-visiting programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,SEAR,2012,2014,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Limited,,,,,,
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS,Youth violence: Extent of implementation of life-skills and social development programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,SEAR,2012,2014,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION,Intimate partner violence: Extent of implementation  of dating violence prevention programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,SEAR,2012,2014,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Limited,,,,,,
VIOLENCE_EXTENTIMP_ELDERCAREGIVER,Elder abuse: Extent of implementation  of caregiver-support programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,SEAR,2012,2014,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
VIOLENCE_EXTENTIMP_ALLTYPES,Extent of implementation of  mental health services for victims of all types of violence,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,SEAR,2012,2014,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
VIOLENCE_EXTENTIMP_CHILDPROTECTION,Extent of implementation of child protection services,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,SEAR,2012,2014,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
VIOLENCE_EXTENTIMP_VICTIMSMEDICOLEGAL,Extent of implementation of medico-legal services for victims of sexual violence,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,SEAR,2012,2014,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2015-2016,2015-2016,,SEAR,2015,2016,South-East Asia,,IND,India,,AGE40-44,40-44 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,21.6,21.60000,,,,,NFHS 
SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2015-2016,2015-2016,,SEAR,2015,2016,South-East Asia,,IND,India,,AGE20-24,20-24 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,23.2,23.20000,,,,,NFHS 
