GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,81,81.00000,,,,,
IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,90,90.00000,,,,,
IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,83,83.00000,,,,,
IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,62,62.00000,,,,,
IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,100,100.00000,,,,,
IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,100,100.00000,,,,,
IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,100,100.00000,,,,,
IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,85,85.00000,,,,,
IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,88,88.00000,,,,,
IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,60,60.00000,,,,,
IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,71,71.00000,,,,,
IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,100,100.00000,,,,,
IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,91,91.00000,,,,,
IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,91,91.00000,,,,,
IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,100,100.00000,,,,,
IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,80,80.00000,,,,,
IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,23,23.00000,,,,,
IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,100,100.00000,,,,,
IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,75,75.00000,,,,,
IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,100,100.00000,,,,,
IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,72,72.00000,,,,,
IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,79,79.00000,,,,,
IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,25,25.00000,,,,,
IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,80,80.00000,,,,,
IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,83,83.00000,,,,,
IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,94,94.00000,,,,,
IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,76,76.00000,,,,,
IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,100,100.00000,,,,,
IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,53,53.00000,,,,,
IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,50,50.00000,,,,,
IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,60,60.00000,,,,,
IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,75,75.00000,,,,,
IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,100,100.00000,,,,,
IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,60,60.00000,,,,,
IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,85,85.00000,,,,,
IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,55,55.00000,,,,,
IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,57,57.00000,,,,,
IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,50,50.00000,,,,,
IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,70,70.00000,,,,,
IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,53,53.00000,,,,,
IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,100,100.00000,,,,,
IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,58,58.00000,,,,,
IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,25,25.00000,,,,,
