GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5298,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,91743,91743.00000,,,,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5298,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,86147,86147.00000,,,,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5298,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,88833,88833.00000,,,,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5298,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,86028,86028.00000,,,,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5298,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,88166,88166.00000,,,,,
NTD_LEPR3,Leprosy - Number of cases registered for treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5298,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,90709,90709.00000,,,,,
NTD_LEPR5,Leprosy - Number of new G2D cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5300,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,4650,4650.00000,,,,,
NTD_LEPR5,Leprosy - Number of new G2D cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5300,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,5256,5256.00000,,,,,
NTD_LEPR5,Leprosy - Number of new G2D cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5300,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,5794,5794.00000,,,,,
NTD_LEPR5,Leprosy - Number of new G2D cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5300,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,5851,5851.00000,,,,,
NTD_LEPR5,Leprosy - Number of new G2D cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5300,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,5245,5245.00000,,,,,
NTD_LEPR5,Leprosy - Number of new G2D cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5300,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,4552,4552.00000,,,,,
NTD_LEPR8,Leprosy - Number of new child (less than 15 years of age) cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5303,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,13387,13387.00000,,,,,
NTD_LEPR8,Leprosy - Number of new child (less than 15 years of age) cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5303,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,12043,12043.00000,,,,,
NTD_LEPR8,Leprosy - Number of new child (less than 15 years of age) cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5303,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,11365,11365.00000,,,,,
NTD_LEPR8,Leprosy - Number of new child (less than 15 years of age) cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5303,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,11389,11389.00000,,,,,
NTD_LEPR8,Leprosy - Number of new child (less than 15 years of age) cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5303,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,11792,11792.00000,,,,,
NTD_LEPR8,Leprosy - Number of new child (less than 15 years of age) cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5303,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,10287,10287.00000,,,,,
NTD_LEPR9,Leprosy - Number of new child (less than 15 years of age) cases detected with G2D,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5304,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,No data,,,,,,
NTD_LEPR9,Leprosy - Number of new child (less than 15 years of age) cases detected with G2D,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5304,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,141,141.00000,,,,,
NTD_LEPR9,Leprosy - Number of new child (less than 15 years of age) cases detected with G2D,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5304,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,0,0.00000,,,,,
NTD_LEPR9,Leprosy - Number of new child (less than 15 years of age) cases detected with G2D,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5304,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,No data,,,,,,
NTD_LEPR11,Leprosy - Number of female new cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5306,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,50828,50828.00000,,,,,
NTD_LEPR11,Leprosy - Number of female new cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5306,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,46845,46845.00000,,,,,
NTD_LEPR11,Leprosy - Number of female new cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5306,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,46379,46379.00000,,,,,
NTD_LEPR11,Leprosy - Number of female new cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5306,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,48808,48808.00000,,,,,
