GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
NTD_BEJELSTATUS,Status of bejel endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4458,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,No previous history of bejel,,,,,,
NTD_PINTASTATUS,Status of pinta endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4460,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,No previous history of pinta,,,,,,
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,114,114.00000,,,,,
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,152,152.00000,,,,,
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,156,156.00000,,,,,
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,172,172.00000,,,,,
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,187,187.00000,,,,,
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3760,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,No data,,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,32803,32803.00000,,,,,
