GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,#indicator+value+num,,,,,
CHOL_01,Raised total cholesterol (>= 5.0 mmol/L) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2382,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,28.3 [17.5-40.2],,,,,,
CHOL_05,Raised total cholesterol (&#8805; 6.2 mmol/L) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2383,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,6.0 [3.2-9.9],,,,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980,1980,,SEAR,South-East Asia,,IND,1980,1980,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.0 [19.6-22.6],21.00000,19.60000,22.60000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1981,1981,,SEAR,South-East Asia,,IND,1981,1981,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.0 [19.7-22.4],21.00000,19.70000,22.40000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982,1982,,SEAR,South-East Asia,,IND,1982,1982,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,20.9 [19.8-22.2],20.90000,19.80000,22.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983,1983,,SEAR,South-East Asia,,IND,1983,1983,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,20.9 [19.9-22.0],20.90000,19.90000,22.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,IND,1996,1996,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,20.6 [20.2-21.0],20.60000,20.20000,21.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1997,1997,,SEAR,South-East Asia,,IND,1997,1997,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,20.6 [20.3-21.0],20.60000,20.30000,21.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,IND,1998,1998,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,20.7 [20.3-21.0],20.70000,20.30000,21.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,IND,1999,1999,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,20.7 [20.3-21.1],20.70000,20.30000,21.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,AGE20-PLUS,20+ years,,MLE,Male,,,,,20.8 [20.4-21.1],20.80000,20.40000,21.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1981,1981,,SEAR,South-East Asia,,IND,1981,1981,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.5 [19.1-22.0],20.50000,19.10000,22.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982,1982,,SEAR,South-East Asia,,IND,1982,1982,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.5 [19.2-21.8],20.50000,19.20000,21.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983,1983,,SEAR,South-East Asia,,IND,1983,1983,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.5 [19.3-21.7],20.50000,19.30000,21.70000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1984,1984,,SEAR,South-East Asia,,IND,1984,1984,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.5 [19.4-21.6],20.50000,19.40000,21.60000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985,1985,,SEAR,South-East Asia,,IND,1985,1985,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.5 [19.5-21.5],20.50000,19.50000,21.50000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,IND,1998,1998,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.8 [20.4-21.2],20.80000,20.40000,21.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,IND,1999,1999,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.9 [20.5-21.2],20.90000,20.50000,21.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.9 [20.5-21.3],20.90000,20.50000,21.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,20.9 [20.6-21.3],20.90000,20.60000,21.30000,,,
