GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),PLACE (CODE),PLACE (DISPLAY),PLACE (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,,,,#indicator+value+num,,,,,
AIR_13,Household air pollution attributable deaths per 100'000 capita,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,,,,,,,,,,44,43.85000,,,,,
UV_3,UV radiation attributable DALYs ('000),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,,,,,,,,,,516684,516683.87000,,,,,
AIR_1,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,,,,,,,,,,168601,168601.00000,,,,,
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,207,207.30377,,,,,
TOTENV_1,Deaths attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4653,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,1 763 813,1763813.00000,,,,,
TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,61 680 765,61680765.00000,,,,,
AIR_44,DALYs attributable to ambient air pollution (age-standardized),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,,,,,,,,,,25 095 186,25095186.19000,,,,,
AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,GHE000,All Causes,,,,,,,,,,,12 278 024 [12 278 024 - 14 606 630],12278024.00000,10262166.00000,14606630.00000,,,
AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,GHE113,Ischaemic heart disease,,,,,,,,,,,5 130 605,5130605.00000,,,,,
