GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),OPENACCESSSERVICE (CODE),OPENACCESSSERVICE (DISPLAY),OPENACCESSSERVICE (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),RSUDTREATMENTLOCATION (CODE),RSUDTREATMENTLOCATION (DISPLAY),RSUDTREATMENTLOCATION (URL),RSUD_HIVHEP_CT (CODE),RSUD_HIVHEP_CT (DISPLAY),RSUD_HIVHEP_CT (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,,,,#indicator+value+num,,,,,
RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,CT_HEPTESTINGANDCOUNSELLING,Hepatitis testing and counselling,,Few (1-10%),,,,,,
RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,CT_HEPVACCINATION,Hepatitis vaccination,,None,,,,,,
RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,CT_HEPTREATMENT,HEPATITIS treatment,,None,,,,,,
RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,CT_HIVTESTINGANDCOUNSELLING,HIV testing and counselling,,Some (11-30%),,,,,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DROP_IN_SERVICES,"Drop-in"" services""",,,,,,,,No,,,,,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NEEDLESYRINGE_EXCH_PRGRMS,Needle/syringe exchange programmes,,,,,,,,Yes,,,,,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,OUTREACH_SERVICES_INJECTINGDRUGUSERS,Outreach services for injecting drug users,,,,,,,,Yes,,,,,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NALOXONE_DISTRIBUTION,Naloxone distribution,,,,,,,,Yes,,,,,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,CONDOM_DISTRIBUTION,Condom distribution,,,,,,,,Yes,,,,,,
RSUD_640,Standards of treatment and care for public specialized treatment facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2578,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,,,,No,,,,,,
RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No,,,,,,
RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No,,,,,,
RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,Yes,,,,,,
RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,Yes,,,,,,
RSUD_670,Treatment programmes for women with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,Yes,,,,,,
RSUD_670,Treatment programmes for women with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,Yes,,,,,,
RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No,,,,,,
RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No,,,,,,
RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_690,Special housing services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No,,,,,,
RSUD_690,Special housing services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No,,,,,,
RSUD_690,Special housing services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_700,Employment services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No,,,,,,
RSUD_700,Employment services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No,,,,,,
RSUD_700,Employment services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_710,Employment services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No,,,,,,
RSUD_710,Employment services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No,,,,,,
RSUD_710,Employment services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No,,,,,,
RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,WEB_BASED_INTERVENTIONS,Web-based interventions,,,,,,,,,,,Yes,,,,,,
RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,CT_HIVARVTREATMENT,HIV (ARV) treatment,,No data,,,,,,
