GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),GROUP (CODE),GROUP (DISPLAY),GROUP (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),RSUDTREATMENTLOCATION (CODE),RSUDTREATMENTLOCATION (DISPLAY),RSUDTREATMENTLOCATION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,#indicator+value+num,,,,,
RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,Yes,,,,,,
RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
RSUD_350,Treatment programmes for children and adolescents with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,Yes,,,,,,
RSUD_350,Treatment programmes for children and adolescents with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,Yes,,,,,,
RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,Yes,,,,,,
RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,Yes,,,,,,
RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,IN_PATIENT_DETOXIFICATION,In-patient detoxification,,,,,No data,,,,,,
RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,IN_PATIENT_TREATMENT,In-patient treatment,,,,,No data,,,,,,
RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,OUT_PATIENT_DETOXIFICATION,Out-patient detoxification,,,,,No data,,,,,,
RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,OUT_PATIENT_TREATMENT,Out-patient treatment,,,,,No data,,,,,,
RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,REHABILITATION,Rehabilitation,,,,,No data,,,,,,
RSUD_330,Main sector for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2524,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,OPIOID_AGONIST_MAINTENANCE_THERAPY,Opioid agonist maintenance therapy,,,,,No data,,,,,,
RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,No data,,,,,,
RSUD_350,Treatment programmes for children and adolescents with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,No data,,,,,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,No data,,,,,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,No data,,,,,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,No data,,,,,,
RSUD_380,Specialized treatment facilities for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,No data,,,,,,
RSUD_380,Specialized treatment facilities for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,No data,,,,,,
RSUD_380,Specialized treatment facilities for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2525,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,IN_OTHER_AREAS,In other areas,,No data,,,,,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2581,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,AL_ANON_ALATEEN,Al-Anon/Alateen,,,,,,,,Yes,,,,,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2581,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,ALCOHOLICS_ANONYMOUS,Alcoholics Anonymous,,,,,,,,Yes,,,,,,
