GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,MLE,Male,,19.0,19.00000,,,,,
TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,FMLE,Female,,8.3,8.30000,,,,,
TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,MLE,Male,,16.8,16.80000,,,,,
TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,FMLE,Female,,9.4,9.40000,,,,,
TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,MLE,Male,,21.6,21.60000,,,,,
TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,FMLE,Female,,9.7,9.70000,,,,,
TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,MLE,Male,,35.9 [24.7-49.3],35.90000,24.70000,49.30000,,,
TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,MLE,Male,,29.5 [23.1-36.1],29.50000,23.10000,36.10000,,,
TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,MLE,Male,,24.4 [19.8-29.2],24.40000,19.80000,29.20000,,,
TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,MLE,Male,,22.8 [17.8-28.0],22.80000,17.80000,28.00000,,,
TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,MLE,Male,,20.4 [14.5-27.3],20.40000,14.50000,27.30000,,,
TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2020,2020,,SEAR,South-East Asia,,IND,2020,2020,India,,MLE,Male,,17.2 [9.6-25.6],17.20000,9.60000,25.60000,,,
TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2025,2025,,SEAR,South-East Asia,,IND,2025,2025,India,,MLE,Male,,14.7 [6.4-25.1],14.70000,6.40000,25.10000,,,
