GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,IND,India,,45 [34-51],45.00000,34.00000,51.00000,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,70 [53-80],70.00000,53.00000,80.00000,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990,1990,,SEAR,South-East Asia,,WB_LMI,1990,1990,Lower-middle-income,,IND,India,,1519182,1519182.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1992,1992,,SEAR,South-East Asia,,WB_LMI,1992,1992,Lower-middle-income,,IND,India,,1121120,1121120.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,WB_LMI,1993,1993,Lower-middle-income,,IND,India,,1081279,1081279.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,SEAR,South-East Asia,,WB_LMI,1995,1995,Lower-middle-income,,IND,India,,1218183,1218183.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,WB_LMI,1996,1996,Lower-middle-income,,IND,India,,1290343,1290343.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,WB_LMI,1998,1998,Lower-middle-income,,IND,India,,1102002,1102002.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,WB_LMI,1999,1999,Lower-middle-income,,IND,India,,1218743,1218743.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,WB_LMI,2001,2001,Lower-middle-income,,IND,India,,1085075,1085075.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,WB_LMI,2002,2002,Lower-middle-income,,IND,India,,1060951,1060951.00000,,,,,
