GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,73,73.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,68,68.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,84,84.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,94,94.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,98,98.00000,,,,,
UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,69,0.69301,,,,,
UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,36,0.36459,,,,,
UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,64,0.64278,,,,,
UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,46,0.46414,,,,,
UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,70,0.69879,,,,,
UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,45,0.44697,,,,,
UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,64,0.64447,,,,,
UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,46,0.46440,,,,,
UHC_AVAILABILITY_SCORE,Data availability for UHC index of service coverage,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833,PUBLISHED,Published,,2013-2017,2013-2017,,SEAR,South-East Asia,,IND,2013,2017,India,,43,0.42857,,,,,
UHC_DATA_AVAIL_CODE,Data availability for UHC index of service coverage (ranking),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4832,PUBLISHED,Published,,2013-2017,2013-2017,,SEAR,South-East Asia,,IND,2013,2017,India,,medium,,,,,,
UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,52,52.00000,,,,,
UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,55,55.00000,,,,,
